#separator:tab
#html:false
go-ahead   /ˈɡoʊ əhed/          n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%	go-ahead  /ˈɡoʊ əhed/       n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%                                go-ahead
seductively   /sɪˈdʌktɪvli/          adv.诱惑地；勾引地诱惑地 60%，勾引地 40%	seductively  /sɪˈdʌktɪvli/       adv.诱惑地；勾引地诱惑地 60%，勾引地 40%                                seductively
reefer   /ˈriːfər/          n.冰箱；方形短茄克；缩帆结；双排扣水手上衣；收帆的人冰箱 52%，缩帆者 16%，冷藏车 16%，双排扣夹克 16%	reefer  /ˈriːfər/       n.冰箱；方形短茄克；缩帆结；双排扣水手上衣；收帆的人冰箱 52%，缩帆者 16%，冷藏车 16%，双排扣夹克 16%                 来自 reef, 帆, 收帆. 原指船上水手收帆时穿的衣服.      noun [ C ]uk/ˈriː.fər/ us/ˈriː.fɚ/  reefer noun [ C ] CIGARETTE  old-fashioned informal a cigarette that you roll yourself containing the drug cannabis大麻烟卷  reefer noun [ C ] JACKET  also reefer jacket a jacket made of thick material and often worn by sailors（常指水手穿的）厚呢短夹克          reefer
juried             [法] 陪审团	juried         [法] 陪审团                                juried
forceps   /ˈfɔːrseps/          n.[医] 钳子；医用镊子原型:forceps 是 forcep 的第三人称单数镊子 100%	forceps  /ˈfɔːrseps/       n.[医] 钳子；医用镊子原型:forceps 是 forcep 的第三人称单数镊子 100%           Dentists use forceps to pull out teeth.牙医用镊子拔牙。      →记1: forceps→for(prep. 为了)+ceps(=cept=totake 拿住)→用来拿住东西的工具→钳子 →参考: except(v. 把… 除外) ； pliers(n. 钳子), nipper(n. 钳子, 镊子), pincers(n. 钳子)来自拉丁语 forceps, 镊子, 钳子. 来自 formus, 热的, 词源同 warm. -cep, 拿, 握, 词源同 capable, accept. 原指铁匠的钳子, 后用于医学名词镊子.   forceps 28 78 A Science Lab   1. prism  2. flask  3. petri dish  4. scale  5. weights  6. wire mesh screen  7. clamp  8. rack  9. test tube  10. stopper  11. graph paper  12. safety glasses  13. timer  14. pipette  15. magnifying glass  16. filter paper  17. funnel  18. rubber tubing  19. ring stand  20. Bunsen burner  21. flame  22. thermometer  23. beaker  24. bench  25. graduated cylinder  26. medicine dropper  27. magnet  28. forceps  29. tongs  30. microscope  31. slide  32. tweezers  33. dissection kit  34. stool   noun [ plural ]uk/ˈfɔː.seps/ us/ˈfɔːr.seps/   a metal instrument with two handles used in medical operations for picking up, pulling, and holding things（医用的）镊子，钳子          forceps
Jeffersonian   /ˌdʒefərˈsoʊniːən/          adj. 美国总统杰弗逊的；杰弗逊政治作风的 n. 杰斐逊的支持者	Jeffersonian  /ˌdʒefərˈsoʊniːən/       adj. 美国总统杰弗逊的；杰弗逊政治作风的 n. 杰斐逊的支持者                             Use the political adjective Jeffersonian to describe ideas that follow the policies of Thomas Jefferson, the third president of the United States.The Jeffersonian presidency was characterized by an emphasis on democracy and republicanism — resisting any hint of monarchy or aristocracy. Jefferson strongly opposed the Federalists because he saw them as being too British and too accepting of aristocratic traditions, and Jeffersonian philosophy emphasized the right of the working man to vote. Another highlight of the Jeffersonian era included a non-interventionist foreign policy — more recent presidents, including Barack Obama, are sometimes described as having Jeffersonian policies.Jeffersonian: Jeffersonians/Jefferson: Jeffersonian, Jeffersons    Jeffersonian
homesteader   /ˈhoʊmstedər/          n.农场所有人；分得土地之定居者；自耕农自耕农 60%，农场所有权人 40%	homesteader  /ˈhoʊmstedər/       n.农场所有人；分得土地之定居者；自耕农自耕农 60%，农场所有权人 40%           Homesteaders live far away from cities, so they grow food on their own farms.自耕农住在远离城市的地方，所以他们在自己的农场里种植食物。            noun [ C ]uk/ˈhəʊmˌsted.ər/ us/ˈhoʊmˌsted.ɚ/ US  someone who goes to live and grow crops on land given by the government, especially in the past（尤指旧时政府资助的）经营农庄者 In the 1800s, thousands of homesteaders settled on the prairies of the western US.19世纪，数以千计的农场主来到美国西部的大草原上定居。          homesteader
inimitable   /ɪˈnɪmɪtəb(ə)l/          adj.独特的；无比的；无法仿效的无法仿效的 58%，不可比拟的 42%	"inimitable  /ɪˈnɪmɪtəb(ə)l/       adj.独特的；无比的；无法仿效的无法仿效的 58%，不可比拟的 42%           He was an inimitable competitor; nobody even came close to him.他是一个不可模仿的竞争者；甚至没有人能够接近他。      →记1: inimitable→in(否定)+imitable(a. 可模仿的)→无法模仿的 in-, 不, 非, imitable, 可模仿的, 可仿效的.无可比拟的(in+imit模仿+able→不能模仿的)[im-,in-①表示""不,无,非""②表示""向内,进入""] 无与伦比的(in不+imitable)[imag,imit=imagine,lkeness,表示""想象,相象""]【记】imitate（vt.模仿；仿效） 【类】indubitable:question＝inimitable:copy不容置疑的不能怀疑＝无法模仿的不能模仿 【反】ordinary（普通的）；commonplace（普通的）      adjectiveuk/ɪˈnɪm.ɪ.tə.bəl/ us/ɪˈnɪm.ə.t̬ə.bəl/   very unusual or of very high quality and therefore impossible to copy无双的，无与伦比的；无法模仿的 He was describing, in his own inimitable style/way, how to write a best-selling novel.他以其独特的风格描述了怎样写畅销小说。 She appeared at the Oscars wearing one of Versace's inimitable creations.她身着独一无二的范思哲晚装亮相奥斯卡颁奖典礼。       Use the adjective inimitable to describe someone or something that is so special or unique, it is impossible to duplicate, like that superstar tennis player with the inimitable serve no other player can copy.To correctly pronounce inimitable, accent the second syllable: ""ih-NIH-muh-tuh-bul"" Inimitable comes from imitabilis, meaning “imitable,” or “that which can be imitated.” Comedians, for example, find the way certain celebrities talk to be quite imitable. But add the prefix in-, meaning “not,” and you get “not imitated.” Use this word to describe things that are truly one-of-a-kind and just can't be copied.inimitable: inimitably/imitate: imitated, imitates, imitating, imitation, imitative, imitator, inimitable/imitation: imitations/imitative: imitatively, nonimitative/imitator: imitators    inimitable"
watching   /ˈwɑtʃɪŋ/          vt.观看，守望；监视，注意（watch现在分词）原型:watching 是 watch 的现在分词观察 48%，监视 23%，注意 23%，动词watch的现在分词形式. 3%，看守 3%词性：名词 52%, 形容词 48%	watching  /ˈwɑtʃɪŋ/       vt.观看，守望；监视，注意（watch现在分词）原型:watching 是 watch 的现在分词观察 48%，监视 23%，注意 23%，动词watch的现在分词形式. 3%，看守 3%词性：名词 52%, 形容词 48%                                watching
lasso   /ˈlæsoʊ/          n.套索vt.用套索套捕；拉拢时态:lassoed, lassoing, lassos用套索捕捉 100%词性：名词 81%, 动词 19%	"lasso  /ˈlæsoʊ/       n.套索vt.用套索套捕；拉拢时态:lassoed, lassoing, lassos用套索捕捉 100%词性：名词 81%, 动词 19%           Rope lassos are used to round up cows.绳索拉索是用来围捕牛的。      →记1: lasso 音“来搜”→来搜丢失的套索 →参考: also(ad. 也)来自拉丁语 laqueus, 罗网, 陷阱, 词源同 lace, elicit. 引申词义套索.【记】读：拉锁－用来套住牛马。      noun [ C ]uk/læsˈuː/ us/læsˈuː/ plural lassos or US also lassoes  a rope, formed into a ring at one end, that can be tightened by pulling the other end绳套，套索 Lassos are used particularly by cowboys to catch cattle and horses.套索是牛仔专门用来套捕牛和马的工具。  verb [ T ]uk/læsˈuː/ us/læsˈuː/   to catch an animal by throwing the ring of a lasso over its head and then tightening it around its neck（用套索）捕捉，套住       A lasso is the loop of rope that cowboys use to catch cattle. To be a successful cowboy or cowgirl, you have to learn to throw a lasso while riding a galloping horse.The circle of rope is called a lasso. and to lasso is to use it to catch a runaway animal. A child might lasso her stuffed animals while riding a rocking horse, and during a rodeo, cowboys who specialize in ""trick roping"" use their lassos to do fancy spinning tricks. Lasso was coined in the U.S. around 1807, from the Spanish lazo, and its Latin root laqueum, both meaning ""noose"" or ""snare.""lasso: lassoed, lassoes, lassoing, lassos   lasso"
wingman   /ˈwɪŋmən/          n.僚机；僚机驾驶员；（足球的）边锋僚机飞行员 100%	wingman  /ˈwɪŋmən/       n.僚机；僚机驾驶员；（足球的）边锋僚机飞行员 100%                                wingman
valise   /vəˈliːs/          n.旅行袋；小提箱手提箱 60%，旅行袋 40%	valise  /vəˈliːs/       n.旅行袋；小提箱手提箱 60%，旅行袋 40%                 词源不详, 可能来自拉丁语 valere, 强健的, 词源同 valiant, 以此命名, 寓意结实耐用之义.            A valise is a small suitcase. If you're carrying a valise as you climb onto a train, you're probably heading off on a short vacation or a weekend trip to visit a friend.The noun valise sounds a little old-fashioned these days, but it's still a good way to talk about a satchel or overnight bag. You might pack a valise for a night at your sister's house, or carry a valise onto an airplane. In the 1600's, valise was often used to mean a soldier's small bag, and while the word has a Latin root, valisia, experts aren't sure what its origins might be.valise: valises   valise
managed-care             管理式医疗管理式医疗 100%	managed-care         管理式医疗管理式医疗 100%                                managed-care
accusatory   /əˈkjuːzətɔːri/          adj.非难的，指责的；控诉的，控告的非难的 44%，责问的 28%，控告的 28%	"accusatory  /əˈkjuːzətɔːri/       adj.非难的，指责的；控诉的，控告的非难的 44%，责问的 28%，控告的 28%                       adjectiveuk/əˈkjuː.zə.tər.i/ /ˌæk.jəˈzeɪ.tər.i/ us/əˈkjuː.zə.tɔːr.i/ /ˌæk.jəˈzeɪ.tɔːr.i/ formal  suggesting that you think someone has done something bad指控的；指责的；谴责的 When he spoke his tone was accusatory.他话中带有指责的口气。 She gave me an accusatory look.她用指责的目光看了我一眼。       An accusatory statement is a way of pointing your finger at someone and saying, “I know you did it!” It shows someone you think they did something wrong.The adjective accusatory is popular in murder mysteries. Screaming, ""The butler did it!"" is accusatory. Giving someone the evil eye is accusatory. Sometimes accusatory words or actions are obvious, and other times they're subtle. Any time you want to describe something that makes an accusation, call it accusatory.accuse: accusal, accusation, accusative, accusatory, accused, accuser, accuses, accusing, accusive/accusal: accusals/accusation: accusations, accusatorial, self-accusation/accusative: accusatives/accusatorial: accusatorially/accuser: accusers/accusing: accusingly    accusatory"
all-girl             [网络]女孩	all-girl         [网络]女孩                                all-girl
metamorphose   /ˌmetəˈmɔːrfoʊz/          vt.变质；变形；使变成时态:metamorphosed, metamorphosing, metamorphoses使变成 75%，改变形状 25%	"metamorphose  /ˌmetəˈmɔːrfoʊz/       vt.变质；变形；使变成时态:metamorphosed, metamorphosing, metamorphoses使变成 75%，改变形状 25%           It's inspiring to see a caterpillar metamorphose into a butterfly.看到毛毛虫蜕变成蝴蝶，令人振奋。      来自 metamorphosis, 变形, 质变.【记】meta变化，morph读成魔方，是有形状的词根，ose－变形 【参】metabolism（n.新陈代谢）meta变化，bol扔：身体内有变化，并扔出不要的东西－新陈代谢 【反】remain unaltered（持续不变）      verb [ I ]uk/ˌmet.əˈmɔː.fəʊz/ us/ˌmet̬.əˈmɔːr.foʊz/ formal  to change into a completely different form or type彻底改变，脱胎换骨 The awkward boy I knew had metamorphosed into a tall, confident man.我所认识的那个笨拙男孩已经脱胎换骨，变成了一个高大自信的男人。       If you've ever seen a caterpillar emerge from its cocoon transformed into a butterfly, you've watched it metamorphose, or change completely.Use the verb metamorphose to describe a total transformation, like an egg into a bird or a seed into a tomato plant. When someone or something changes in appearance, they also metamorphose, the way a messy kid does when he tucks in his shirt and combs his hair. The origins of the word metamorphose lie in the Greek meta, or ""change,"" and morphe, ""form.""metamorphose: metamorphosed, metamorphosing   metamorphose"
atlantan             亚特兰大人 亚特兰大的 亚特兰大人的	atlantan         亚特兰大人 亚特兰大的 亚特兰大人的                                atlantan
pullover   /ˈpʊloʊvər/          n.套衫adj.套领的毛线套衫 100%	pullover  /ˈpʊloʊvər/       n.套衫adj.套领的毛线套衫 100%                       noun [ C ]uk/ˈpʊlˌəʊ.vər/ us/ˈpʊlˌoʊ.vɚ/ mainly UK US usually sweater B1 a piece of clothing that is usually made of a warm material such as wool, has long sleeves, and is worn over the top part of the body and is put on by pulling it over your head套头毛衣       A pullover is a sweater or sweatshirt that you put on over your head. Don't forget your wool pullover — it's cold outside!You can refer to a jacket as a pullover if you put it on by pulling it over your head, rather than zipping or buttoning it up. The same goes for any other garment, no matter its materials. Pulling it on over your head makes it qualify as a pullover. Originally, a pullover was a type of shoe, and today it's still the name for a shoe prototype, a sample used by shoemakers to check the fit.pullover: pullovers   pullover
clinging   /ˈklɪŋɪŋ/          n.坚持；依附v.坚持，紧贴（cling的ing形式）adj.执着的；有粘性的原型:clinging 是 cling 的现在分词动词cling的现在分词形式. 50%，依赖的 50%	clinging  /ˈklɪŋɪŋ/       n.坚持；依附v.坚持，紧贴（cling的ing形式）adj.执着的；有粘性的原型:clinging 是 cling 的现在分词动词cling的现在分词形式. 50%，依赖的 50%                                clinging
Scotsman   /ˈskɑːtsmən/          n.苏格兰人	Scotsman  /ˈskɑːtsmən/       n.苏格兰人                       noun [ C ]uk/ˈskɒt.smən/ us/ˈskɑːt.smən/ plural -men uk/-mən/ us  a man from Scotland苏格兰男人          Scotsman
ebullient   /ɪˈbʊliənt/          adj.热情洋溢的；沸腾的热情洋溢的 67%，兴高采烈的 33%	"ebullient  /ɪˈbʊliənt/       adj.热情洋溢的；沸腾的热情洋溢的 67%，兴高采烈的 33%           I was overwhelmed with joy when I finally bought my house. I was absolutely ebullient!当我最终买下我的房子时，我被喜悦冲昏了头脑。我绝对是欣喜若狂      →记1: ebullient→e(电子)+bulletin(n. 公告, 布告)→兴高采烈的人群围在电子公告栏前 e-, 向外, 同 ex-. -bull, 冒泡, 同 boil. 比喻热情的.      adjectiveuk/ɪbˈʊl.i.ənt/ us/ɪbˈʊl.i.ənt/   very energetic, positive, and happy精力充沛的；热情洋溢的；兴高采烈的 He wasn't his usual ebullient self.一贯热情洋溢的他一反常态，跟换了个人似的。       More than chipper, more than happy, more than delighted is ebullient — meaning bubbling over with joy and delight.There are two senses of the word of ebullient. One describes an immediate, and ultimately short-lived, reaction to a particular event — for example if you've just won the lottery, you are ebullient. The other describes someone who is perpetually upbeat and cheerful, for example, as in ""an ebullient personality."" Watch out for ebullient personalities: they can often be ""over the top"" as well.ebullient: ebullience, ebulliently   ebullient"
early-stage             早期，初期	early-stage         早期，初期                       adjectiveuk/ˌɜː.liˈsteɪdʒ/ us/ˌɝː.liˈsteɪdʒ/   used for describing something that has only recently started to happen or develop早期 early-stage dementia痴呆症早期          early-stage
summative   /'sʌmətiv/          adj.总结性；总结的总结的 100%	summative  /'sʌmətiv/       adj.总结性；总结的总结的 100%                                summative
stretchy   /ˈstretʃi/          adj.有弹性的；能伸展的有弹性的 62%，伸长的 19%，容易伸长的 19%	stretchy  /ˈstretʃi/       adj.有弹性的；能伸展的有弹性的 62%，伸长的 19%，容易伸长的 19%                       adjectiveuk/ˈstretʃ.i/ us/ˈstretʃ.i/   Stretchy material stretches or can be stretched.（材料）有弹性的 stretchy leggings弹力紧身裤 stretchy material弹性材料          stretchy
slop   /slɑːp/          vt.溢出，使溅出vi.溅出；泼洒时态:slopped, slopping, slops溢出 46%，溅出 36%，排泄物 9%，感情迸发 9%词性：名词 52%, 动词 48%	"slop  /slɑːp/       vt.溢出，使溅出vi.溅出；泼洒时态:slopped, slopping, slops溢出 46%，溅出 36%，排泄物 9%，感情迸发 9%词性：名词 52%, 动词 48%                 来自辅音丛 sl-, 黏滑的, 淤泥的, 泥浆的, 比较 slop, slosh, slough, sludge. 用于指泔水, 剩饭菜.      See slopverb [ I or T,  + adv/prep ]uk/slɒp/ us/slɑːp/ -pp-  to cause a liquid to flow over the edge of a container through not taking care or making a rough movement（使液体）晃荡；（使）溢出，溅出 Careful, you've just slopped coffee all over the carpet!小心，你刚才把咖啡溅得地毯上到处都是！ Water slopped out of the bucket as he carried it up the stairs.他拎着水桶上楼的时候，水溅了出来。 Phrasal verb(s)slop around (sth)slop out nounuk/slɒp/ us/slɑːp/   [ U ] informal disapproving food that is more liquid than it should be and is therefore unpleasant稀软味差的食物 Have you tried the slop that they call stew in the canteen?你尝了食堂里他们称作炖菜的那个软塌塌的东西了吗?slops [ plural ] also slop liquid or wet food waste, especially when it is fed to animals溢出（或溅出的）液体；（尤指喂食动物的）泔水，剩饭菜 We feed the slops to the pigs.我们把泔水用来喂猪。 There's a tray under each tap to catch the beer slops.每个龙头下都有一个盘子来接溢出的啤酒。       Sticky or squishy mud (or food that's just about as appetizing) is slop. You'll want to wear your tall rubber boots if you're going to walk through the slop on the way to the bus stop.Farmers feed their pigs slop, a messy, wet mix of various leftovers—and when they do, they can say they slop the pigs. A derogatory way to talk about food that doesn't look very tasty is to call it slop. And you can call sticky, overly sentimental music, writing, or films slop as well. The 15th century definition of slop was ""mudhole,"" from the Old English cusloppe, ""cow dung.""slop: slopped, slopping, sloppy, slops/sloppy: sloppier, sloppiest, sloppily, sloppiness    slop"
extrasolar   /ˌekstrəˈsoʊlər/          adj.[天] 太阳系以外的太阳以外的 100%	"extrasolar  /ˌekstrəˈsoʊlər/       adj.[天] 太阳系以外的太阳以外的 100%                 太阳系以外的(extra+solar太阳的)[extra-表示""以外的,超过的""]      adjectiveuk/ˌek.strəˈsəʊ.lər/ us/-ˈsoʊ.lɚ/ specialized  outside the solar system (= the area that contains the sun and the planets around it)（存在于）太阳系之外的 extrasolar planets太阳系外行星          extrasolar"
diastolic   /ˌdaɪəˈstɑːlɪk/          adj.心脏舒张的形容词 98%，名词 2%	diastolic  /ˌdaɪəˈstɑːlɪk/       adj.心脏舒张的形容词 98%，名词 2%                       adjectiveuk/daɪ.əˈstɒl.ɪk/ us/ˌdaɪ.əˈstɑː.lɪk/ specialized  relating to the diastole (= the period when the main chamber of the heart is relaxed and filling with blood)（心脏的）舒张期的，心舒期的 diastolic blood pressure心舒期血压          diastolic
displeased   /dɪsˈpliːzd/          v.使…不快（displease的过去式和过去分词）adj.不快的；生气的原型:displeased 是 displease 的过去式不快的 50%，不满意的 30%，动词displease的过去式和过去分词形式. 20%	displeased  /dɪsˈpliːzd/       v.使…不快（displease的过去式和过去分词）adj.不快的；生气的原型:displeased 是 displease 的过去式不快的 50%，不满意的 30%，动词displease的过去式和过去分词形式. 20%                                displeased
scalp   /skælp/          n.头皮；战利品vt.剥头皮vi.剥头皮时态:scalped, scalping, scalps头皮 98%，胜利品 1%，拨顶 1%词性：名词 91%, 动词 9%	scalp  /skælp/       n.头皮；战利品vt.剥头皮vi.剥头皮时态:scalped, scalping, scalps头皮 98%，胜利品 1%，拨顶 1%词性：名词 91%, 动词 9%                 →记1: scalp→claps(v. 鼓掌)→得到战利品, 鼓掌欢迎 →参考: skull(n. 头骨)可能来自古诺斯语 skalli, 秃头, 来自 skel, 砍, 切, 词源同 scale, shell. 引申词义头顶, 头皮, 古代战争中剥下敌人头皮作为战利品, 并引申俚语词义倒卖门票, 黄牛.      noun [ C ]uk/skælp/ us/skælp/  scalp noun [ C ] TOP OF HEAD  the skin on the top of a person's head where hair usually grows头皮 a dry/oily/itchy scalp干燥的／油性的／发痒的头皮 Some tribes used to collect scalps to prove how many of the enemy they had killed in battle.以前有些部落通过收集人的头皮来证明在战斗中杀死过多少敌人。  scalp noun [ C ] DEFEATED PERSON  mainly UK someone you defeat in a competition or election（在竞争或竞选中）击败的人，手下败将 Although they are expected to take some important scalps in the election, they are unlikely to form the next government.尽管他们有可能在大选中击败一些重要人物，但是还是不大可能组阁下一届政府。 Idiom(s)be out for/after sb's scalp verb [ T ]uk/skælp/ us/skælp/  scalp verb [ T ] SELL  US informal UK tout to buy things, such as theatre tickets, at the usual prices and then sell them, when they are difficult to get, at much higher prices倒卖（戏票等） scalp verb [ T ] HEAD  to cut off the scalp of a dead enemy（作为战利品）从敌人尸体上剥下头皮 humorous to cut someone's hair very short把（某人）的头发理得很短          scalp
retrenchment   /rɪˈtrentʃmənt/          n.节省；删除减少 60%，删除 40%	retrenchment  /rɪˈtrentʃmənt/       n.节省；删除减少 60%，删除 40%                       noun [ C or U ]uk/rɪˈtrentʃ.mənt/ us/rɪˈtrentʃ.mənt/   a situation in which a government, etc. spends less or reduces costs削减费用；紧缩开支 Australian English a situation in which someone loses their job because their employer does not need them裁减工人 The downturn in business has resulted in many retrenchments.商业活动低迷，导致大量裁员。 Compareredundancy (NOT EMPLOYED)          retrenchment
curriculum-based             [网络]课程本位；是课程本位评量的一种方法	curriculum-based         [网络]课程本位；是课程本位评量的一种方法                                curriculum-based
cabinetry   /ˈkæbɪnətri/          n.细工家俱细木家具 100%	cabinetry  /ˈkæbɪnətri/       n.细工家俱细木家具 100%                                cabinetry
biochar              生物碳	biochar          生物碳                                biochar
aver   /əˈvɜːr/          vt.断言，极力声明；主张时态:averred, averring, avers断言 63%，极力声明 37%	"aver  /əˈvɜːr/       vt.断言，极力声明；主张时态:averred, averring, avers断言 63%，极力声明 37%           ""I'M HERE!"" the green man avers.""我在这里！""这个绿色的人说。      →记1: aver→saver(n. 救助者)→救助者断言已无幸存者  →记2: aver→a+ver(=true 真实的)→证明…是真的 →参考: belie(v. 证明…为假), rave(v. 热切赞扬), waver(v. 犹豫)前缀 a-同 ad-. 词根 ver, 真实, 确认, 见 very, verify.【根】ver真实－证明属实。 【参】verity（n.真实）；veracious（adj.诚实的，真实的） 【反】deny（v.否认）；belie（v.掩饰，证明…为假）      verb [ T ]uk/əˈvɜːr/ us/əˈvɝː/ -rr- formal  to say that something is certainly true断言；坚称 The lawyer averred her client's innocence.那名律师坚称她的当事人无罪。 [ + speech ] ""He's guilty, I tell you,"" she averred.“我告诉你们，他有罪，”她一口咬定说。 [ + that ] She averred that he was guilty.她一口咬定他有罪。       To aver is to state something or declare something is true. This verb has a serious tone, so you might aver something on a witness stand or you might aver that you won't back down to a challenge.The verb aver comes to English via the Latin root words ad, meaning ""to,"" and verus, meaning ""true."" The word can have the sense of formally declaring something is true, but it can also mean to report positively: ""The grandmother averred that her granddaughter would make a fine veterinarian because of her love and caring for animals.""aver: averment, averred, averring, avers/averment: averments    aver"
monetization   /ˌmɑːnɪtəˈzeɪʃn/          n.[金融] 货币化；定为货币；货币铸造货币化 88%，作为货币 12%	"monetization  /ˌmɑːnɪtəˈzeɪʃn/       n.[金融] 货币化；定为货币；货币铸造货币化 88%，作为货币 12%                             Monetization is the process of converting goods into money. The monetization of gold is quite common.When a country establishes a certain currency, or paper money, it uses monetization to establish a commodity with real, recognized value — like precious gems, silver, or gold — to back up the value of that printed cash. You can also refer to the process of printing of money as monetization. Monetization comes from the 1800s verb monetize, or ""circulate as money,"" from its Latin root word moneta, ""money.""monetize: demonetize, monetization, monetized, monetizing/demonetise: demonetisation, demonetised, demonetises, demonetising/demonetize: demonetization, demonetized, demonetizing/monetarism: monetarist/monetarist: monetarists/monetary: monetarily, monetarism, monetise, monetize/monetise: demonetise, monetisation    monetization"
gouache   /ɡuˈɑːʃˌɡwɑːʃ/          n.水粉画；树胶水彩画；水粉颜料名词 100%	"gouache  /ɡuˈɑːʃˌɡwɑːʃ/       n.水粉画；树胶水彩画；水粉颜料名词 100%           The gouache painting has many bright colors.水粉画有许多明亮的颜色。      来自法语, 词源同 aqua-, 水, 水彩, 见 aquatic.            Gouache is a kind of paint that some artists use. When you paint with gouache, you mix it with water. However, unlike watercolors, it's not translucent.Commercial artists often choose to use gouache for illustrations or posters. It has many qualities of watercolor paints (you can add water to thin it, and it dries matte rather than glossy), but the final effect is completely opaque, like acrylics or oil paints. You can also call the painting that results from using these paints a gouache. The word simply means ""watercolor"" in French, from the Latin root aquatio, ""watering place.""gouache: gouaches   gouache"
behaviorist   /bɪˈheɪvjərɪst/          n.行为主义者行为主义者 65%，行为科学家 15%，行为科学家的 10%，行为主义者的 10%	behaviorist  /bɪˈheɪvjərɪst/       n.行为主义者行为主义者 65%，行为科学家 15%，行为科学家的 10%，行为主义者的 10%                                behaviorist
gyroscope   /ˈdʒaɪrəskoʊp/          n.陀螺仪；[航] 回转仪陀螺仪 86%，回转仪 14%	gyroscope  /ˈdʒaɪrəskoʊp/       n.陀螺仪；[航] 回转仪陀螺仪 86%，回转仪 14%           The gyroscope can always tell you which way is up.陀螺仪总能告诉你哪条路是向上的。      gyro-, 旋转. -scope, 看, 见 telescope. 后用做科技名词.      noun [ C ]uk/ˈdʒaɪ.rə.skəʊp/ us/ˈdʒaɪ.rə.skoʊp/ also gyro  a device containing a wheel that spins freely within a frame, used on aircraft and ships to help keep them horizontal, and as a children's toy陀螺仪，回转仪；（儿童玩具）陀螺       A gyroscope is a mechanical tool that can figure out the speed and direction of anything that it’s attached to, and you can find gyroscope technology in compasses, airplanes, video games, and cell phones.A gyroscope is a circular disk with a pole through the middle, surrounded by three rings that can each rotate whatever direction they please.  No matter how you spin the rings, the disc stays flat.  In the 1850s, a French physicist used a gyroscope to explain how the Earth rotates on its axis.  For his clever experiment, he got to name the gyroscope, choosing a combination of Greek words that literally translates to “circle watcher.”gyroscope: gyroscopes, gyroscopic/gyroscopic: gyroscopically    gyroscope
grout   /ɡraʊt/          n.水泥浆；薄浆vt.灌浆；用薄泥浆填塞时态:grouted, grouting, grouts水泥浆 75%，用薄泥浆填塞 17%，薄泥浆 8%词性：名词 81%, 动词 19%	"grout  /ɡraʊt/       n.水泥浆；薄浆vt.灌浆；用薄泥浆填塞时态:grouted, grouting, grouts水泥浆 75%，用薄泥浆填塞 17%，薄泥浆 8%词性：名词 81%, 动词 19%                 词源同 grits, 粗玉米粉. 即粗玉米粉磨的浆, 可用做勾缝剂使用.      verb [ T ]uk/ɡraʊt/ us/ɡraʊt/   to put a thin line of mortar in the spaces between tiles在…的瓷砖缝隙中抹胶泥，给…的瓷砖勾缝 We spent the weekend grouting the bathroom.我们花了一个周末的时间给浴室的瓷砖勾缝。  noun [ U ]uk/ɡraʊt/ us/ɡraʊt/ also grouting  mortar used for grouting（用于瓷砖接缝处的）水泥浆，石灰浆       Grout is a paste or putty that you use to fill in the spaces between tiles or along the edge of a tub. When grout dries, it keeps tiles in place, and once it's sealed, it protects against moisture.An old-fashioned meaning of grout is ""porridge or gruel,"" from the Old English gruta, ""coarse meal,"" and a root meaning ""to grind."" These days you don't eat grout, but instead use it in home improvement projects, especially between floor or wall tiles. As a verb, to grout means ""to apply grout.""grout: grouted, grouting, grouts   grout"
tastefully   /ˈteɪstfəli/          adv.雅致地；高雅地雅致地 67%，有品位地 33%	tastefully  /ˈteɪstfəli/       adv.雅致地；高雅地雅致地 67%，有品位地 33%                                tastefully
invented   /ɪnˈventɪd/          v.发明；虚构（invent的过去分词）adj.发明的原型:invented 是 invent 的过去式和过去分词已发明的 100%	invented  /ɪnˈventɪd/       v.发明；虚构（invent的过去分词）adj.发明的原型:invented 是 invent 的过去式和过去分词已发明的 100%                                invented
hysterics   /hɪˈsterɪks/          n.歇斯底里症的发作；发疯原型:hysterics 是 hysteric 的复数歇斯底里症的发作 67%，大哭大笑 33%	hysterics  /hɪˈsterɪks/       n.歇斯底里症的发作；发疯原型:hysterics 是 hysteric 的复数歇斯底里症的发作 67%，大哭大笑 33%                 来自 hysterical, 歇斯底里的, -ics, 名词后缀.      noun [ plural ]uk/hɪˈster.ɪks/ us/hɪˈster.ɪks/   uncontrolled behaviour or crying, usually caused by extreme fear or sadness歇斯底里发作 Convinced the plane was about to crash, many people were sobbing and in hysterics.确信这架飞机即将坠毁之后，许多人都在哭泣并且变得歇斯底里。 informal uncontrolled laughter狂笑 He was hilarious - he had us all in hysterics.他可真滑稽——逗得我们大家狂笑不止。 Idiom(s)have hysterics         hysterics
encoding   /ɪnˈkodɪŋ/          n.[计] 编码v.[计] 编码（encode的ing形式）原型:encoding 是 encode 的现在分词编码 100%词性：名词 61%, 形容词 39%	encoding  /ɪnˈkodɪŋ/       n.[计] 编码v.[计] 编码（encode的ing形式）原型:encoding 是 encode 的现在分词编码 100%词性：名词 61%, 形容词 39%                                encoding
twenty-year-old             [网络]二十岁	twenty-year-old         [网络]二十岁                                twenty-year-old
