#separator:tab
#html:false
two-point             n.二点[网络]二点交叉；两点侦测；两点法	two-point         n.二点[网络]二点交叉；两点侦测；两点法                                two-point
merry-go-round   /ˈmeri ɡoʊ raʊnd/          n.旋转木马	merry-go-round  /ˈmeri ɡoʊ raʊnd/       n.旋转木马                    merry-go-round 5 87 Neighborhood Parks   1. zoo  2. band shell  3. vendor  4. hand truck  5. merry-go-round  6. horseback rider  7. bridlepath  8. (duck) pond  9. jogging path  10. bench  11. trash can  12. slide  13. sandbox  14. sprinkler  15. playground  16. swings  17. jungle gym  18. seesaw  19. water fountain   noun [ C ]uk/ˈmer.i.ɡəʊˌraʊnd/ us/ˈmer.i.ɡoʊˌraʊnd/  merry-go-round noun [ C ] FOR CHILDREN  UK also roundabout, US also carousel a large machine at a fair that turns round and has wooden or plastic animals or vehicles on which children ride旋转木马 The girls wanted the merry-go-round to go faster.女孩们想让旋转木马转得快一些。 US UK roundabout a flat, round piece of equipment in play areas on which children sit or stand and are pushed round and round脚踏旋转平台  merry-go-round noun [ C ] SEVERAL ACTIVITIES  a series of similar activities that can often seem boring（看上去常令人厌倦的）一连串（类似的活动） With his first book came the endless merry-go-round of publicity and interviews.随着他第一本书的出版，接踵而来的是一连串无尽的宣传和采访活动。          merry-go-round
liftoff   /ˈlɪftɔːf/          n.发射；起飞时刻；搬走起飞 100%	liftoff  /ˈlɪftɔːf/       n.发射；起飞时刻；搬走起飞 100%                                liftoff
voiceless   /ˈvɔɪsləs/          adj.无声的；清音的；沉默的无声的 100%	"voiceless  /ˈvɔɪsləs/       adj.无声的；清音的；沉默的无声的 100%                       adjectiveuk/ˈvɔɪs.ləs/ us/ˈvɔɪs.ləs/   literary If a group of people is voiceless, it does not have the power or the legal right to express their opinions.无发言权的 He spent his life fighting for the rights of the voiceless and the underprivileged.他毕生都致力于维护那些无发言权和贫苦阶层的人民的权利。 specialized phonetics (of a speech sound) produced without making the vocal cords move清音的Oppositevoiced       Someone who can't speak, either literally or figuratively, is voiceless. Your sore throat may leave you voiceless for a couple of days, and the youngest child in a family might feel voiceless when it comes to making to big family decisions.If you suffer from laryngitis, you're temporarily voiceless, unable to use your voice to speak. Someone who's mute, for a physical or psychological reason, is often permanently voiceless. It's also common to use this adjective for people so powerless that they're unable to express their needs or desires: ""Women in that country have been voiceless for a long time, but that's finally beginning to change.""voiceless: voicelessly, voicelessness/devoice: devoiced/voice: devoice, voiced, voiceless, voicer, voices, voicing/voiced: unvoiced/voicer: voicers/voicing: voicings    voiceless"
hourly   /ˈaʊərli/          adj.每小时的，以钟点计算的；频繁的adv.每小时地；频繁地，随时每小时地 32%，以小时计算的 23%，时时地 15%，每隔一小时的 15%，随时的 15%词性：形容词 82%, 副词 18%	hourly  /ˈaʊərli/       adj.每小时的，以钟点计算的；频繁的adv.每小时地；频繁地，随时每小时地 32%，以小时计算的 23%，时时地 15%，每隔一小时的 15%，随时的 15%词性：形容词 82%, 副词 18%                       adjectiveuk/ˈaʊə.li/ us/ˈaʊr.li/  B2 done or happening every hour每小时的 There's an hourly bus service into town.每小时都有一班发往城里的公共汽车。 Take two tablets at hourly intervals.每隔一小时服两片药。hourly fee, rate, etc.B2 the amount that is charged or earned every hour每小时的费用More examplesThere's an hourly news bulletin on this radio channel.You will be responsible for carrying out hourly inspections of the customer toilets.The nurse checks on him at hourly intervals.They pay an hourly rate of £12.50.You ought to take hourly breaks from the keyboard, just for five or 10 ten minutes, to rest your eyes.  adverbuk/ˈaʊə.li/ us/ˈaʊr.li/  C1 once every hour每小时 Trains call here hourly.这里每小时来一班火车。More examplesPlease check on the patient hourly, and report any change in her condition.We inspect the customer toilet facilities hourly.It's a good idea to take a short break hourly, to avoid eye strain.I had a terrible night - I woke up hourly because of the pain in my shoulder.The lifeguard on duty at the swimming pool changes over hourly.          hourly
three-judge             三位法官	three-judge         三位法官                                three-judge
unimpeded   /ˌʌnɪmˈpiːdɪd/          adj.畅通无阻的；未受阻的畅通无阻的 60%，未受阻的 40%	unimpeded  /ˌʌnɪmˈpiːdɪd/       adj.畅通无阻的；未受阻的畅通无阻的 60%，未受阻的 40%                       adjectiveuk/ˌʌn.ɪmˈpiː.dɪd/ us/ˌʌn.ɪmˈpiː.dɪd/   not stopped, blocked, or prevented by anything未被中止的，未受阻碍的 From this position you can enjoy an unimpeded view of the waterfall.在这个位置可以对瀑布一览无余。 The new bike path allows bicycles to ride unimpeded through the city.新建的自行车道可以让骑车人畅通无阻的穿过城市。          unimpeded
huntsman   /ˈhʌntsmən/          n.猎人；管猎犬者猎人 92%，管猎犬者 8%	huntsman  /ˈhʌntsmən/       n.猎人；管猎犬者猎人 92%，管猎犬者 8%                       noun [ C ]uk/ˈhʌnts.mən/ us/ˈhʌnts.mən/ plural -men uk/-mən/ us  someone who hunts animals with a gun or other weapons猎人，狩猎者 in Britain, someone who uses dogs and rides a horse to hunt animals, especially foxes, for sport（英国的）骑马打猎者；（尤指）骑马猎狐者          huntsman
wonky   /ˈwɑːŋki/          adj.靠不住的；摇晃的，动摇的靠不住的 47%，动摇的 25%，不稳的 20%，错误的 8%	wonky  /ˈwɑːŋki/       adj.靠不住的；摇晃的，动摇的靠不住的 47%，动摇的 25%，不稳的 20%，错误的 8%                 校园俚语, 可能来自 wank, 手淫, 引申义肾虚, 摇晃.      adjectiveuk/ˈwɒŋ.ki/ us/ˈwɑːŋ.ki/  wonky adjective NOT FIRM/LEVEL  mainly UK informal weak, unsatisfactory, or not firm摇晃的；虚弱的；令人不满意的 One of the legs on this chair is a bit wonky.这把椅子的一条腿有点晃。 He may have to stop playing tennis because of his wonky knee.因为膝盖不太好，他可能得告别网球了。 The jury system may be a bit wonky but nobody's ever thought of anything better.陪审制度可能不太令人满意，但是没人能想出更好的体系来。 mainly UK informal not straight or level不直的；不平的 wonky teeth参差不齐的牙齿 a wonky picture挂歪了的画 I don't enjoy those programmes with wonky camera angles and pop music.我不喜欢那些用斜镜头拍摄、用流行音乐伴奏的节目。  wonky adjective DETAILED  US knowing, or showing that you know, a lot of details about something, especially politics or science（对政治或科学）自认为知之甚多的 He gave a wonky speech about climate change.他对气候变迁发表了一番自以为是的看法。       Things that are wonky are a little bit crooked or wobbly — a table that isn't balanced right, a nose that's a bit out of place. Something that’s wonky isn’t necessarily broken; it’s just slightly “off.”Wonky can also describe something that isn't working correctly, such as an old TV set that shows only one channel, or maybe even your brain after you’ve just pulled an all-nighter. Important: Don't confuse wonky with wonk. A wonk is an extremely studious person, and usually wonks are very far from being wonky (except perhaps in terms of their social skills).wonky: wonkiest   wonky
occlusion   /əˈkluːʒn/          n.闭塞；吸收；锢囚锋闭塞 66%，咬合 22%，梗塞 12%	"occlusion  /əˈkluːʒn/       n.闭塞；吸收；锢囚锋闭塞 66%，咬合 22%，梗塞 12%                 堵塞(oc+clus+ion)[clos,clud,clus=close,表示""关闭""]      nounuk/əˈkluː.ʒən/ us/əˈkluː.ʒən/ specialized occlusion noun BLOCK  medical [ C or U ] in medicine, something that blocks a tube or opening in the body, or when something is blocked or closed栓塞（医学术语，血管或体内开口处的阻塞）  occlusion noun TEETH  medical [ U ] in dentistry, the way in which your upper and lower teeth meet（牙科术语）上下牙齿的咬合  occlusion noun WEATHER  environment [ C ] also occluded front a situation in the weather when two masses of air meet, especially when a mass of cold air reaches warm air and pushes the warm air up off the earth's surface锢囚锋（两个锋面相遇而形成的锋面，尤指冷空气将其前面的暖空气抬高而形成的锋面）       Occlusion is either the act of blocking something or a specific blockage. There can be occlusions blocking the street or your arteries. When dentists say occlusion, they’re talking about what your teeth look like when your mouth is closed.An occlusion blocks anything that flows, like cars, people, water, or blood. You can say there's occlusion if a pipe is clogged. If you find out a golf ball was in the pipe, the ball was an occlusion. This word applies to things that block and the act of blocking. People have heart attacks when there's occlusion in their arteries. An overturned truck would be an occlusion on the highway. Occlusions are in the way.occlusion: occlusions/occlude: occluded, occludes, occluding, occlusion, occlusive    occlusion"
oceanography   /ˌoʊʃəˈnɑːɡrəfi/          n.海洋学海洋学 100%	"oceanography  /ˌoʊʃəˈnɑːɡrəfi/       n.海洋学海洋学 100%                 来自 ocean 海洋, -graphy, 写, 学说.      noun [ U ]uk/ˌəʊ.ʃəˈnɒɡ.rə.fi/ us/ˌoʊ.ʃəˈnɑː.ɡrə.fi/   the scientific study of the sea海洋学       Oceanography is the scientific study of the ocean. If you're interested in biology, physics, and sea creatures, you might want to study oceanography.Another way to say oceanography is ""marine science."" Scientists who specialize in oceanography are called oceanographers, and they focus on specific aspects of the sea which might include the physics of waves and currents or the biology of marine animals and plants. The word oceanography was coined in the mid-1800s, modeled on geography, from ocean and -graphy, ""the process of writing or recording.""oceanography: oceanographer/oceanographer: oceanographers    oceanography"
retold   /ˌriːˈtoʊld/          vt.再讲（retell的过去式和过去分词）原型:retold 是 retell 的过去式动词retell的过去式和过去分词形式 100%	retold  /ˌriːˈtoʊld/       vt.再讲（retell的过去式和过去分词）原型:retold 是 retell 的过去式动词retell的过去式和过去分词形式 100%                                retold
blotch   /blɑːtʃ/          n.斑点；污点；疙瘩vt.弄脏时态:blotched, blotching, blotches弄脏 60%，标上斑点 40%词性：名词 88%, 动词 12%	"blotch  /blɑːtʃ/       n.斑点；污点；疙瘩vt.弄脏时态:blotched, blotching, blotches弄脏 60%，标上斑点 40%词性：名词 88%, 动词 12%           There are many blotches of ink on the paper.纸张上有许多墨水斑点。      →记1: blotch 音“不老气”→脸上长几个红斑点 (比如青春痘什么的), 反而显得不老气 →评注: 因为只有年轻人的脸上才会长青春痘吗 【记】lot多，ch吃－吃的东西多，容易弄的一身大油点－斑点 【参】botch（v.弄坏，做事拙劣）      noun [ C usually plural ]uk/blɒtʃ/ us/blɑːtʃ/   a mark that is not regular in shape, for example on a person's skin（皮肤等上的）斑点;污迹 Her face was covered in purple blotches.她的脸上满是紫色的斑点。       A blotch is an uneven spot or blemish, like the itchy blotches you get all over your arms after tangling with the poison ivy in your back yard.Etymologists guess that blotch comes from blot, ""spot or stain,"" influenced by patch — so you can think of a blotch as a patchy stain. The word is frequently used to describe skin that's discolored, like the blotches you get on your cheeks after crying, or the painful blotch on your back where you forgot to apply sunblock. Use it as a verb, too: ""The ketchup squirted from his hamburger and blotched his new white shirt.""blotch: blotched, blotches, blotching, blotchy/blotchy: blotchily    blotch"
desalination   /ˌdiːˌsælɪˈneɪʃn/          n.脱盐作用；减少盐分名词 100%	desalination  /ˌdiːˌsælɪˈneɪʃn/       n.脱盐作用；减少盐分名词 100%           Desalination plants remove the salt from water.海水淡化厂从水中去除盐分。      de-, 不, 非, 使相反. -sal, 盐, 词源同 salt.      noun [ U ]uk/ˌdiː.sæl.ɪˈneɪ.ʃən/ us/diːˌsæl.əˈneɪ.ʃən/   the process of removing salt from sea water海水淡化 a desalination plant (= factory)海水淡化工厂          desalination
disinfection   /ˌdɪsɪnˈfekʃn/          n.消毒，杀菌消毒 100%	disinfection  /ˌdɪsɪnˈfekʃn/       n.消毒，杀菌消毒 100%                                disinfection
soliloquy   /səˈlɪləkwi/          n.独白；自言自语自言自语 100%	"soliloquy  /səˈlɪləkwi/       n.独白；自言自语自言自语 100%           Tragically, no-one heard her heart-rending soliloquy.可悲的是，没有人听到她令人心碎的独白。      →记1: soliloquy→soli(单独的, 独自的)+loquy(=topseak)→独自一个人说话→独白 sol-, 单独的, 独自的, -loq, 说话, 词源同 colloquy, loquacious. 引申词义独白.独白,自言自语(soli独白+loquy说→独白)[loqu,locu=speak,表示""说话""] 自言自语;独自(soli+loqu说＋y→一个人说)[Sol=alone,表示""单独""]【记】soli惟一，loquy说－一人说话－独白 【类】soliloquy:play＝aria:opera独白是戏剧中一人说＝独唱曲是歌剧中一人唱      noun [ C ]uk/səˈlɪl.ə.kwi/ us/səˈlɪl.ə.kwi/ plural soliloquies specialized  a speech in a play that the character speaks to himself or herself or to the people watching rather than to the other characters（戏剧中的）独白 Hamlet's soliloquy starts ""To be or not to be"".哈姆雷特的独白以“生存还是毁灭”开头。       Ever see someone talking to himself while on a stage? That's what you call a soliloquy — a character's speech voicing his or her own thoughts as if to himself. Shakespeare's plays are full of soliloquies.The noun, soliloquy, comes from the Latin roots, solus""alone"" plus loqui""speak"" meaning ""a talking to oneself."" A soliloquy is a speech a character gives of his thoughts and reflections. Some of the most famous lines in drama are taken from soliloquies. Take ""to be or not to be..."" and ""Tomorrow, and tomorrow, and tomorrow, Creeps in this petty pace..."" as two examples of lines from soliloquies that have tortured high school students around the globe. Not the Globe Theater, Silly.soliloquy: soliloquies, soliloquise, soliloquize/soliloquise: soliloquised, soliloquises, soliloquising/soliloquize: soliloquized, soliloquizes, soliloquizing    soliloquy"
eroded    /ɪˈroʊd/           v.侵蚀；损坏（erode的过去分词形式）adj.被侵蚀的，损坏了原型:eroded 是 erode 的过去式和过去分词被侵蚀的 70%，有蚀痕的 18%，动词erode的过去式和过去分词形式. 12%	"eroded   /ɪˈroʊd/        v.侵蚀；损坏（erode的过去分词形式）adj.被侵蚀的，损坏了原型:eroded 是 erode 的过去式和过去分词被侵蚀的 70%，有蚀痕的 18%，动词erode的过去式和过去分词形式. 12%                             When cliffs are gradually worn away by currents and pounding ocean waves, we consider them eroded. Eroded comes from the Latin word erodere""to eat away."" It doesn't just refer to things like sediment and dirt. If someone is consistently unreliable, your confidence in that person will gradually become eroded.erode: eroded, erodes, eroding, erosion, erosive/erosion: erosions    eroded"
entreaty   /ɪnˈtriːti/          n.恳求；乞求恳求 73%，哀求 27%	"entreaty  /ɪnˈtriːti/       n.恳求；乞求恳求 73%，哀求 27%           The poor man makes a desperate entreaty for help.这个可怜的人发出了绝望的求救声。      恳求,请求[treat=handle,表示""处理""]【类】command:entreaty＝goad:enticement强行命令不是恳求＝强行刺激不是诱使      noun [ C ]uk/ɪnˈtriː.ti/ us/ɪnˈtriː.t̬i/   an attempt to persuade someone to do something恳求；乞求；请求 She refused to become involved with him despite his passionate entreaties.尽管他苦苦哀求，她还是拒绝跟他有任何瓜葛。       ""Ain't too proud to beg"" is what the word entreaty is all about. When you make an entreaty, you're begging or pleading for something.An entreaty is the kind of request you make to King Kong when he's dangling you from the top of the Empire State Building. It's an appeal you make to someone who usually has the power to grant your wish. Entreaty is often used in the plural: ""After all my pleas and entreaties, my teacher still gave me a C.""entreaty: entreaties/treaty: entreaty, treaties    entreaty"
eventful   /ɪˈventf(ə)l/          adj.多事的；重要的；多变故的；重大的多事的 43%，重要的 40%，变故多的 17%	"eventful  /ɪˈventf(ə)l/       adj.多事的；重要的；多变故的；重大的多事的 43%，重要的 40%，变故多的 17%           We did so many fun things at the eventful wedding.在这个多事的婚礼上，我们做了很多有趣的事情。      变故多的(event+ful→事件多→多变故的)[ven,vent=come,表示""来""]      adjectiveuk/ɪˈvent.fəl/ us/ɪˈvent.fəl/  C2 full of interesting or important events多趣事的；充满大事的 Her time at college was the most eventful period of her life.她在大学里的那些日子是她一生中最丰富多彩的一段时光。 We had quite an eventful journey.我们的旅途充满了乐趣。       Eventful things are exciting, important, or full of incidents. Your eventful life might inspire you to write a fascinating autobiography one day.If your day is eventful, a lot of things happen — it can be good or bad, but it's certainly not boring. If you see a hot air balloon land on the highway while you're driving to work, and when you arrive all of your co-workers are wearing costumes, and then your boss gives you a huge raise, you can call it an eventful day. The word dates from about 1600, meaning literally ""full of events.""eventful: eventfully, uneventful/event: eventful, events, eventuate, nonevent/eventuate: eventuated, eventuates, eventuating/nonevent: nonevents/uneventful: uneventfully    eventful"
recheck   /rɪˈtʃek/          vt.再核对，再检查复查 54%，再核对 46%	recheck  /rɪˈtʃek/       vt.再核对，再检查复查 54%，再核对 46%                                recheck
preemptively             先发制人地先发制人的 79%，优先购买的 21%	preemptively         先发制人地先发制人的 79%，优先购买的 21%                                preemptively
sandbar   /ˈsændbɑːr/          n.沙洲；沙堤沙洲 100%	sandbar  /ˈsændbɑːr/       n.沙洲；沙堤沙洲 100%                       noun [ C ]uk/ˈsænd.bɑːr/ us/ˈsænd.bɑːr/   a long raised area of sand below the surface of the water, especially where a river enters the sea, usually formed by moving currents（尤指河口的）沙洲，沙堤          sandbar
buff   /bʌf/          n.浅黄色；软皮；爱好者；[俚] 健康的身体vt.有软皮摩擦；缓冲；擦亮，抛光某物时态:buffed, buffing, buffs爱好者 33%，浅黄色 27%，抛光 25%，缓冲 11%，光身子 4%词性：名词 60%, 动词 25%, 形容词 15%	"buff  /bʌf/       n.浅黄色；软皮；爱好者；[俚] 健康的身体vt.有软皮摩擦；缓冲；擦亮，抛光某物时态:buffed, buffing, buffs爱好者 33%，浅黄色 27%，抛光 25%，缓冲 11%，光身子 4%词性：名词 60%, 动词 25%, 形容词 15%           The dealership will buff your car for you.经销商会帮你把车子擦干净。      来自 buffalo leather, 水牛皮, 黄褐色. 爱好者义来自美国历史上 1820 年纽约志愿者救火队的制服颜色, 这群志愿者在当时享有非常大的声誉.      noun [ C ]uk/bʌf/ us/bʌf/ informal  a person who knows a lot about and is very interested in a particular subject爱好者 a computer/opera/film buff计算机／歌剧／电影爱好者 Idiom(s)in the buff adjectiveuk/bʌf/ us/bʌf/  buff adjective COLOUR  (of) a pale, yellowish-brown colour淡黄褐色的，米色的 a buff envelope米色信封  buff adjective HEALTHY  If a man is buff, he has a body that is a good shape, and looks as if he has done a lot of exercise.（看似因做了许多运动而）体型健美的 He was spotted on the beach looking extremely buff.他出现在海滩上，身材看上去十分健美。  verb [ T ]uk/bʌf/ us/bʌf/   to rub an object made of metal, wood, or leather in order to make it shine, using a soft, dry cloth（用软布）擦亮       Buff is a busy word. If you’re a movie buff, you’re a film fan! If you are buff, your muscles are toned. If your sweater is buff, it's a caramel brown color. And to buff is to polish. Whew!You may decide to paint your living room buff or write a long letter on buff-colored stationery. There is also a soft-surfaced, yellowish kind of leather that's called buff, which is where the word came from — it was called buffe leather, or ""leather made of buffalo hide,"" in the 16th century, and the practice of polishing leather gives buff its meaning as a verb: to polish. You might also have heard the phrase ""in the buff,"" which means ""not wearing any clothes.""buff: buff-colored, buffed, buffer, buffest, buffing, buffly, buffs, rebuff/buffer: buffered, buffering, buffers/rebuff: rebuffed, rebuffing, rebuffs    buff"
carrion   /ˈkæriən/          n.腐肉；臭尸；不洁之物adj.腐肉的；腐朽的腐肉 67%，腐肉的 24%，以腐肉为生的 9%	"carrion  /ˈkæriən/       n.腐肉；臭尸；不洁之物adj.腐肉的；腐朽的腐肉 67%，腐肉的 24%，以腐肉为生的 9%                 →记1: carrion→carr(=carn=flesh 肉)+ion→腐肉 →参考: carryon(v. 继续进行, 继续开展), canyon(n.峡谷)腐肉(carr肉+ion)[-ion 1.表名词""动作或状态“2.表示""某种物,用品""]【记】carr＝carn肉－腐肉car车，rion＝lion狮子：车把狮子撞死了，过几天就变成－腐肉      noun [ U ]uk/ˈkær.i.ən/ us/ˈker.i.ən/   dead or decaying flesh腐尸；腐肉       The noun carrion refers to the dead and rotting flesh of an animal. Ever seen a dead opossum or cat in the road? You can call that roadkill carrion.The word carrion comes from a Latin word caro, which means ""meat,"" but carrion is usually considered unfit for human consumption. Birds of prey and other opportunistic animals will often have carrion as part of their diet, however. Sometimes the word carrion is used a little more metaphorically: ""The soldiers were unable to retrieve the bodies of their fallen brothers, so they were left on the field of battle like so much carrion.""carrion: carrions   carrion"
creatinine   /kriˈætəniːn/          n.[生化] 肌酸酐	creatinine  /kriˈætəniːn/       n.[生化] 肌酸酐                                creatinine
reformulate   /ˌriːˈfɔːrmjuleɪt/          vt.再用形式表示时态:reformulated, reformulating, reformulates再形成 100%	reformulate  /ˌriːˈfɔːrmjuleɪt/       vt.再用形式表示时态:reformulated, reformulating, reformulates再形成 100%                 re-, 再, 重新, formulate, 制定. refract 折射【记】re重新，formulate（v.用公式表示） 【参】formula（n.公式）            To reformulate is to rework or improve an original plan. If your bottle rocket goes off course, crashing into your kitchen window, you will want to reformulate the flight plans before you launch it again.Fortunately for English speakers, there are a lot of linguistic opportunities for second chances! Reformulate is one of those words that give you a chance to improve upon a first try. Words in this “do-over” family include revise, rework, and redevelop; notice the re in all of these words, from the Latin “again” or “back.” Reformulate is usually used for a form ula, theory, or plan.reformulate: reformulated, reformulating/formula: formulae, formularise, formularize, formulary, formulas, formulate/formularise: formularised/formularize: formularized/formulary: formularies/formulate: formulated, formulates, formulating, formulation, reformulate/formulation: formulations    reformulate
idiopathic   /ˌɪdɪəˈpæθɪk/          adj.先天的；自发的，特发的特发的 75%，突发性的 25%	"idiopathic  /ˌɪdɪəˈpæθɪk/       adj.先天的；自发的，特发的特发的 75%，突发性的 25%                       adjectiveuk/ˌɪd.i.əˈpæθ.ɪk/ us/ˌɪd.i.əˈpæθ.ɪk/ specialized  an idiopathic disease or medical condition has no known cause特发的，自发的，原因不明的（疾病） Idiopathic pulmonary fibrosis is a lung condition which causes scarring of the lungs.特发性肺纤维化是一种造成肺部形成瘢疤的疾病。       When your doctor isn't sure why you're sick, she might describe your illness as idiopathic, doctor-speak for ""of unknown causes.""The medical term idiopathic comes from Greek roots: idios, or ""one's own,"" and pathos, ""suffering"" or ""disease."" The literal meaning is something like ""a disease of its own,"" or an illness that isn't  connected to any particular cause. This is often the diagnosis doctors end up with after ruling out a lot of known conditions or diseases, and it's an official-sounding way for a medical professional to say ""I don't know why you're sick.""idiopathic: idiopathically   idiopathic"
unceremoniously   /ˌʌnˌserəˈmoʊniəsli/          adv.随便地；唐突地随便地 60%，不庄重地 20%，无礼貌地 20%	unceremoniously  /ˌʌnˌserəˈmoʊniəsli/       adv.随便地；唐突地随便地 60%，不庄重地 20%，无礼貌地 20%                                unceremoniously
harried   /ˈhærid/          adj.被掠夺的；受折磨的v.烦扰；掠夺；强使前进（harry的过去分词）原型:harried 是 harry 的过去式和过去分词侵掠 35%，侵扰 33%，不断骚扰 16%，打扰 16%	harried  /ˈhærid/       adj.被掠夺的；受折磨的v.烦扰；掠夺；强使前进（harry的过去分词）原型:harried 是 harry 的过去式和过去分词侵掠 35%，侵扰 33%，不断骚扰 16%，打扰 16%                             Someone who is harried is feeling the stress of being rushed, overworked, or harassed. A harried parent might be exhausted but still have to make 3 dozen cupcakes for school and help with a science project.Harried comes from the verb harry, which itself is from the Middle English word herigan, meaning to pillage, plunder, or make war. Today, harried doesn't imply an act of war, but rather someone who is frazzled or a situation that might cause that feeling. If the project you're working on has been harried from start to finish, you'll be lucky to keep your sanity.harried: harriedly/harrier: harriers/harry: harried, harrier, harries, harrying, harrys    harried
watercress   /ˈwɔːtərkres/          n.[园艺] 豆瓣菜；西洋菜豆瓣菜 100%	watercress  /ˈwɔːtərkres/       n.[园艺] 豆瓣菜；西洋菜豆瓣菜 100%                 water, 水, cress, 水芹. 用于指水田芥.   watercress 5 6 Vegetables I   1. (head of) cauliflower  2. broccoli  3. cabbage  4. brussels sprouts  5. watercress  6. lettuce  7. escarole  8. spinach  9. herb(s)  10. celery  11. artichoke  12. (ear of) corn  12a. cob  13. kidney bean(s)  14. black bean(s)  15. string bean(s)  16. lima bean(s)  17. pea(s)  17a. pod  18. asparagus   noun [ U ]uk/ˈwɔː.tə.kres/ us/ˈwɑː.t̬ɚ.kres/   a plant that grows in water, whose green leaves taste hot and are used as food, often eaten uncooked in salads水田芥（水生植物，叶子常作色拉食用）          watercress
gremlin   /ˈɡremlɪn/          n.小精灵，小鬼；麻烦麻烦 100%	gremlin  /ˈɡremlɪn/       n.小精灵，小鬼；麻烦麻烦 100%                 词源不详. 可能来自由 cobalt, goblin 杜撰出来的新词, 用于科技俚语.【记】grem＝green，lin林：绿林英雄一般都是小捣蛋鬼出身。      noun [ C ]uk/ˈɡrem.lɪn/ us/ˈɡrem.lən/   an imaginary little creature that gets inside things, especially machines, and makes them stop working（尤指想象中钻到机器里面使其出现故障的）小妖精 We must have a gremlin in the engine - it isn't working right.发动机里一定是钻进去了个小妖精——现在运转不正常了。       A gremlin is a mischievous mythical creature that's said to cause trouble to machinery, particularly in airplanes. When you're a nervous flyer, the last thing you want to think about is gremlins messing with the plane's engines.The word gremlin first appeared in print in 1929. It emerged from the U.K.'s Royal Air Force aviator slang (possibly influenced by goblin), and it became especially popular during World War II. Gremlins were described as tricksters that could be blamed for engine malfunctions and other mysterious, unexplained mechanical problems. Gremlin was also the name of a Marvel Comics character and a 1970s AMC car, and Gremlins was a popular 1984 film.gremlin: gremlins   gremlin
shipmate   /ˈʃɪpmeɪt/          n.同船水手，同船船员同船水手 100%	shipmate  /ˈʃɪpmeɪt/       n.同船水手，同船船员同船水手 100%                       noun [ C ]uk/ˈʃɪp.meɪt/ us/ˈʃɪp.meɪt/   A sailor's shipmate is another sailor who works on the same ship as they do.同船水手，同船船员          shipmate
lakefront   /ˈleɪkˌfrʌnt/          n.湖边，湖畔；湖滨地带湖畔 43%，湖边 38%，面临湖水之处 19%	lakefront  /ˈleɪkˌfrʌnt/       n.湖边，湖畔；湖滨地带湖畔 43%，湖边 38%，面临湖水之处 19%                                lakefront
mixed-race   /ˌmɪkst ˈreɪs/          混种的混血的	mixed-race  /ˌmɪkst ˈreɪs/       混种的混血的                       adjectiveuk/ˌmɪkstˈreɪs/ us/ˌmɪkstˈreɪs/   A mixed-race person has parents of different races (= the groups that people are divided into according to their physical characteristics).混血的 involving people of different races涉及不同种族人的 mixed-race marriages跨族婚姻          mixed-race
monoclonal   /ˌmɑːnoʊˈkloʊnəl/          adj.单克隆的；单细胞繁殖的单克隆 98%，单细胞繁殖的 2%	monoclonal  /ˌmɑːnoʊˈkloʊnəl/       adj.单克隆的；单细胞繁殖的单克隆 98%，单细胞繁殖的 2%                       adjectiveuk/ˌmɒn.əˈkləʊ.nəl/ us/ˌmɑː.nəˈkloʊ.nəl/ specialized  relating to a group of cells that originally come from a single cell单克隆的 Monoclonal antibodies can be helpful in the treatment of recurrent, indolent non-Hodgkin's lymphoma.单克隆抗体可用来治疗复发无痛性非何杰金氏淋巴瘤。          monoclonal
mooring   /ˈmʊrɪŋ/          n.下锚；停泊处；系船具v.停泊（moor的ing形式）原型:mooring 是 moor 的现在分词停泊处 60%，下锚 20%，系船用具 10%，动词moor的现在分词形式. 10%词性：名词 82%, 形容词 18%	"mooring  /ˈmʊrɪŋ/       n.下锚；停泊处；系船具v.停泊（moor的ing形式）原型:mooring 是 moor 的现在分词停泊处 60%，下锚 20%，系船用具 10%，动词moor的现在分词形式. 10%词性：名词 82%, 形容词 18%                 词源不详, 可能来自古英语 maerels, 系泊绳索, 系泊用具.停泊(moor停船)[-ing 1.表名词""状态""2.表名词""行业""3.表形容词""正…的"",""令人…的""]   mooring 19 59 Pleasure Boating   1. life jacket  2. canoe  3. paddle  4. sailboat  5. rudder  6. centerboard  7. boom  8. mast  9. sail  10. water-skier  11. towrope  12. outboard motor  13. motorboat  14. windsurfer  15. sailboard  16. cabin cruiser  17. kayak  18. dinghy  19. mooring  20. inflatable raft  21. oarlock  22. oar  23. rowboat   nounuk/ˈmɔː.rɪŋ/ /ˈmʊə.rɪŋ/ us/ˈmʊr.ɪŋ/   [ C ] a place to tie a boat停泊船只的地方 We rented a mooring.我们租了一个船只泊位。moorings [ plural ] the ropes or chains that keep a boat from moving away from a particular place系泊索具       A mooring is kind of like a parking lot for boats — it's a place people can keep their dinghies, sailboats, or ships tied up.One complication of owning a boat is that you need to rent a mooring for it, a place to keep it while you're not out on the water. Piers, docks, and wharfs all typically provide moorings for boats and ships, where they can be attached securely with ropes. Mooring comes from the verb moor, ""to fasten by cable,"" from a Germanic root.mooring: moorings/moor: moorage, moored, mooring, moors    mooring"
nonexistence   /ˌnɑnɪɡˈzɪstəns/          n.不存在；不存在的事无 56%，不存在的事 33%，不存在的东西 11%	nonexistence  /ˌnɑnɪɡˈzɪstəns/       n.不存在；不存在的事无 56%，不存在的事 33%，不存在的东西 11%                                nonexistence
