#separator:tab
#html:false
anti-government             adj.反对政府的	anti-government         adj.反对政府的                                anti-government
one-of-a-kind   /'wʌn'əvə'kaind/          adj.每种只有一个的每种只有一个的 100%	one-of-a-kind  /'wʌn'əvə'kaind/       adj.每种只有一个的每种只有一个的 100%                                one-of-a-kind
tangy   /ˈtæŋi/          adj.扑鼻的；有刺激性的；强烈的；咸的强烈的 50%，有刺激性的 25%，扑鼻的 25%	"tangy  /ˈtæŋi/       adj.扑鼻的；有刺激性的；强烈的；咸的强烈的 50%，有刺激性的 25%，扑鼻的 25%           I make my orange juice a little bit more tangy by adding some lemon.我通过添加一些柠檬使我的橙汁变得更加浓郁。      【记】读：烫鸡，特别烫的鸡的味道是扑鼻的。 【反】bland（adj.温和的；乏味的）      adjectiveuk/ˈtæŋ.i/ us/ˈtæŋ.i/   A tangy flavour is pleasantly strong and sharp（味道）香浓的 a deliciously tangy lemon tart美味可口的柠檬馅饼       Tangy foods, like vinegar and lemon juice, have a sharp, acidic flavor. Your salad will taste better if you pour plenty of tangy salad dressing on it.If you like tangy flavors, you'll probably enjoy lemonade that's not too sweet, as well as foods like blue cheese, lime-flavored Thai dishes, and plain yogurt. The adjective tangy comes from tang, ""strong flavor or smell."" The earliest definition of tang was ""a serpent's stinging tongue,"" from a root meaning ""to bite.""tangy: tangiest, tanginess/tang: tangs, tangy    tangy"
singularly   /ˈsɪŋɡjələrli/          adv.异常地；非常地；令人无法理解地少见地 50%，不可思议地 50%	singularly  /ˈsɪŋɡjələrli/       adv.异常地；非常地；令人无法理解地少见地 50%，不可思议地 50%                       adverbuk/ˈsɪŋ.ɡjə.lə.li/ us/ˈsɪŋ.ɡjə.lɚ.li/  singularly adverb NOTICEABLE  to an unusual degree特别地 singularly beautiful特别漂亮 a singularly unattractive individual特别不起眼的一个人  singularly adverb STRANGE  formal strangely不寻常地；奇怪地；不可思议地          singularly
Balkan   /ˈbɔːlkən/          adj.巴尔干半岛的巴尔干半岛 40%，巴尔干半岛的 40%，巴尔干人的 20%	Balkan  /ˈbɔːlkən/       adj.巴尔干半岛的巴尔干半岛 40%，巴尔干半岛的 40%，巴尔干人的 20%                       noun [ C ], adjectiveuk/ˈbɔːl.kən/ us/ˈbɔːl.kən/   belonging to or relating to the Balkans or its people巴尔干半岛的；巴尔干人的          Balkan
prosecutorial   /,prɔsikju'tɔ:riəl/          adj.原告的；公诉人的	prosecutorial  /,prɔsikju'tɔ:riəl/       adj.原告的；公诉人的                       adjectiveuk/ˌprɒs.ɪ.kjuːˈtɔː.ri.əl/ us/ˌprɑː.sɪ.kjuːˈtɔːr.i-/ specialized  relating to the process of prosecuting someone for (= officially accusing them of) a crime与公诉有关的 the process by which the Justice Department makes prosecutorial decisions (= decisions to prosecute)司法部作出公诉决定的程序 his prosecutorial zeal (= eagerness to prosecute people)他对公诉的热衷 relating to a prosecutor检察官的；公诉人的 evidence of prosecutorial misconduct (= wrong behaviour by the prosecutor)公诉方失职的证据          prosecutorial
ingestion   /ɪnˈdʒestʃən/          n.摄取；吸收；咽下摄取 58%，吸收 25%，咽下 17%	ingestion  /ɪnˈdʒestʃən/       n.摄取；吸收；咽下摄取 58%，吸收 25%，咽下 17%                       noun [ U ]uk/ɪnˈʤes.tʃən/ us/ɪnˈʤes.tʃən/ specialized  the process of absorbing nutrients or medications into the body by eating or drinking them摄取（营养，药物） There is a therapy option that does not require the ingestion of drugs.有一种不需要摄取药物的治疗方案。          ingestion
silt   /sɪlt/          n.淤泥，泥沙；煤粉；残渣vt.使淤塞；充塞vi.淤塞，充塞；为淤泥堵塞时态:silted, silting, silts淤泥 100%词性：名词 78%, 动词 22%	silt  /sɪlt/       n.淤泥，泥沙；煤粉；残渣vt.使淤塞；充塞vi.淤塞，充塞；为淤泥堵塞时态:silted, silting, silts淤泥 100%词性：名词 78%, 动词 22%           The harbor tends to become blocked up by silt deposited by the river.港湾有被河流带来的淤泥阻塞的趋势。      →记1: silt→spilt(vbl. 溢出, 涌出)→泥沙俱下  →记2: silt→slit(n. 裂口, 裂缝)→淤泥从裂缝里涌出 →参考: still(a. 静止的), list(n. 目录)来自古英语 sealt, 盐, 词源同 salt. 原指海水沉积物, 后引申词义淤泥, 淤沙, 淤积, 淤塞等.【类】artery:plaque＝channel:silt斑沉积阻碍动脉血流动＝淤泥沉积阻碍河道水流动      noun [ U ]uk/sɪlt/ us/sɪlt/   sand or soil that is carried along by flowing water and then dropped, especially at a bend in a river or at a river's opening（尤指河湾或河口处的）淤泥，泥沙       Silt is the fine bits of clay and sand that become sediment settling at the bottom of a river or lake. If there's a lot of silt flowing in a river, it looks murky.Silt is the super-fine dirt that you might see at the bottom of a lake or river. When your feet touch silt it feels slimy, and once it’s stirred it up the water looks muddy. Where the Mississippi River enters the Gulf of Mexico, a lot of silt has been deposited and over time has built up a portion of land called the Mississippi Delta. The region surrounding this accumulation of silt is home to music called the Delta Blues.silt: silted, silting, silts, silty   silt
extra-virgin             特级初榨	extra-virgin         特级初榨                                extra-virgin
raffle   /ˈræfl/          n.废物；抽彩售货vt.抽彩售货vi.抽彩时态:raffled, raffling, raffles废物 51%，垃圾 33%，抽奖售物 16%词性：名词 76%, 动词 24%	"raffle  /ˈræfl/       n.废物；抽彩售货vt.抽彩售货vi.抽彩时态:raffled, raffling, raffles废物 51%，垃圾 33%，抽奖售物 16%词性：名词 76%, 动词 24%           Let's sign up for the raffle contest and see if we win the prize!让我们报名参加抽奖比赛，看看我们是否能赢得奖品！      来自古法语 rafle, 骰子赌博, 抢劫, 劫掠, 来自 Proto-Germanic*khrap, 抢走, 抓走, 拔出, 可能来自 skerb, sker, 砍, 切, 词源同 shear, sharp. 比喻用法. 拼写比较 ring, 来自 sker, 弯, 转, 词源同 curve.【记】读：rifle（n.步枪），总是raffle失败，只好用rifle抢了。 【类】lottery:raffle＝ticket:admission抽彩是一种对奖活动＝门票是一种通行允许      noun [ C ]uk/ˈræf.əl/ us/ˈræf.əl/   an activity in which people buy tickets with different numbers, some of which are later chosen to win prizes, that is organized in order to make money for a good social purpose（为社会公益事业进行的）抽彩（活动） a raffle ticket/prize抽彩奖券／奖品 I have never won anything in a raffle.我从来没在抽彩中赢得过任何奖品。  verb [ T ]uk/ˈræf.əl/ us/ˈræf.əl/   to offer something as a prize in a raffle（兑奖售物活动中）以…为奖品 We are going to raffle off a car for the hospital appeal.为医院举行的慈善抽奖活动中，我们将用一辆汽车作为奖品。  See also draw verb (CHOOSE)       A raffle is a type of contest in which you buy a ticket for a chance to win a prize. After the tickets are sold, a drawing determines which ticket holds the winning number. People raffle off everything from fruit baskets to cars.You might enter a raffle at a school gathering, a fair, or another event. The proceeds from selling raffle tickets often go toward a good cause, like a charity. When a group holds a raffle, you can also say that they raffle the prizes off — your French club might raffle off a bicycle to raise money for your trip to Montreal, for example. A raffle was originally ""a dice game.""raffle: raffled, raffling   raffle"
respirator   /ˈrespəreɪtər/          n.口罩；[医] 呼吸器；防毒面具呼吸器 57%，口罩 43%	"respirator  /ˈrespəreɪtər/       n.口罩；[医] 呼吸器；防毒面具呼吸器 57%，口罩 43%                       noun [ C ]uk/ˈres.pɪ.reɪ.tər/ us/ˈres.pə.reɪ.t̬ɚ/   artificial breathing equipment人工呼吸器；呼吸机 Doctors put the patient on a respirator.医生给病人接上了呼吸机。 a device worn over the mouth and nose to prevent harmful substances from being breathed in防毒面具 The firefighters wore respirators to help them breathe in the smoke-filled house.消防员戴上防毒面具以便能在烟雾弥漫的房中呼吸。       A respirator is a device you use to help you breathe, either for a medical reason or to filter out dust, gas, or anything else too nasty to inhale.Whether you're scraping lead paint off a wall or spray painting a car, you'll want to wear a respirator. Military members and police officers sometimes use respirators known as ""gas masks"" to protect themselves from fumes emitted during wars and riots. Some respirators simply purify the air that moves through them, while others, like those used in hospitals, provide oxygen. The Latin root of respirator is respirare, ""breathe in and out.""respirator: respirators/respiration: respirations/respire: respiration, respirator, respiratory, respired, respires, respiring    respirator"
unrecognized   /ʌnˈrekəɡnaɪzd/          adj.未被承认的；未被认出的；未被认可的未被认出的 53%，未被承认的 47%	unrecognized  /ʌnˈrekəɡnaɪzd/       adj.未被承认的；未被认出的；未被认可的未被认出的 53%，未被承认的 47%                             Anything that has been overlooked or that hasn't been noticed before is unrecognized. Your brother may insist that his unrecognized singing talent will make him famous some day, despite the fact that he can barely carry a tune.Things that simply haven't been discovered yet are unrecognized, like an unrecognized case of pneumonia that doctors initially diagnosed as a bad cold. And qualities that aren't given the proper amount of attention are also unrecognized. It wasn't until your soccer coach had you sub in for an injured forward that she discovered your unrecognized talent for playing offense.recognized: recognizedly, unrecognized/derecognize: derecognized/recognition: recognitions/recognizable: recognizably, unrecognizable/recognize: derecognize, recognition, recognizable, recognized, recognizes, recognizing/unrecognizable: unrecognizably    unrecognized
exasperated   /ɪɡˈzæspəreɪtɪd/          v.使恼怒；激怒；恶化（exasperate的过去式）adj.激怒的；恼火的原型:exasperated 是 exasperate 的过去式和过去分词恼怒的 84%，动词exasperate的过去式和过去分词形式. 16%	"exasperated  /ɪɡˈzæspəreɪtɪd/       v.使恼怒；激怒；恶化（exasperate的过去式）adj.激怒的；恼火的原型:exasperated 是 exasperate 的过去式和过去分词恼怒的 84%，动词exasperate的过去式和过去分词形式. 16%                       adjectiveuk/ɪɡˈzɑː.spə.reɪ.tɪd/ us/ɪɡˈzæs.pə.reɪ.t̬ɪd/   annoyed, especially because you can do nothing to solve a problem被激怒的；恼怒的；极厌烦的 He's becoming increasingly exasperated with the situation.面对这种情形，他越来越恼火。       It’s understandable if you get exasperated, or really frustrated, if you’re standing in the supermarket's express lane and everyone in front of you has way more than the 10-item maximum.Over the centuries, nothing much has happened to the definition of this word — the Latin original means ""irritated to anger."" Speaking of which, let's get back to the supermarket, a veritable hotbed of exasperated people pushing wobbly-wheeled shopping carts their children try to fill with cartoon-branded junk food, brushing past unstable store displays that come tumbling down, enduring inoffensive but flavorless supermarket music, and emerging into the cold light of day unable to remember where they parked the car.exasperated: exasperatedly/exasperate: exasperated, exasperates, exasperating, exasperation/exasperating: exasperatingly/exasperation: exasperations    exasperated"
dispersed   /dɪˈspɜːrst/          v.分散；传播（disperse的过去分词）adj.散布的；被分散的；被驱散的原型:dispersed 是 disperse 的过去式和过去分词被驱散的 44%，散布的 28%，被分散的 28%	"dispersed  /dɪˈspɜːrst/       v.分散；传播（disperse的过去分词）adj.散布的；被分散的；被驱散的原型:dispersed 是 disperse 的过去式和过去分词被驱散的 44%，散布的 28%，被分散的 28%                 【类】clot:dissolved＝crowd:dispersed  凝块被溶解＝人群被驱散            The adjective dispersed can describe anything that's spread across a distance. You might use the Internet to stay in touch with your dispersed family, who live everywhere from Maine to California.The Latin root of dispersed is dispersus, meaning ""to scatter."" Anything that's distributed or spread out can be described as dispersed, used either as an adjective or a verb. Seeds that are planted evenly across a huge field are dispersed. When a crowd of people gathered in one place all leave, heading in different directions from where they met, you can say they dispersed.dispersed: dispersedly/dispersal: dispersals/disperse: dispersal, dispersed, disperses, dispersing, dispersion, dispersive/dispersion: dispersions/dispersive: dispersively    dispersed"
statist   /ˈsteɪtɪst/          n.统计学者；中央集权论者；中央经济统制论者统计学者 51%，中央集权论者 25%，统计学者的 12%，国家经济统制论者 12%	statist  /ˈsteɪtɪst/       n.统计学者；中央集权论者；中央经济统制论者统计学者 51%，中央集权论者 25%，统计学者的 12%，国家经济统制论者 12%                                statist
saffron   /ˈsæfrən/          n.藏红花；橙黄色adj.藏红花色的，橘黄色的藏红花 92%，橘黄色 8%	saffron  /ˈsæfrən/       n.藏红花；橙黄色adj.藏红花色的，橘黄色的藏红花 92%，橘黄色 8%                 来自古法语 safran, 藏红花, 来自阿拉伯语 za'faran, 藏红花, 词源不详.      noun [ U ]uk/ˈsæf.rən/ us/ˈsæf.rən/  saffron noun [ U ] SPICE  a dark yellow substance obtained from a flower and used as a spice to give colour and flavour to food藏红花粉（用于给食物增色提味） saffron rice藏红花米饭  saffron noun [ U ] COLOUR  a dark yellow colour藏红花色，暗黄色  adjectiveuk/ˈsæf.rən/ us/ˈsæf.rən/   having a dark yellow colour藏红花色的，暗黄色的       Saffron is a deep yellow-orange colored spice that's commonly used in Middle Eastern and South Asian food. Because it's quite expensive, saffron is usually sold in small quantities.Saffron looks like short, feathery threads — it's made from dried crocus stigmas, the thin stems at the center of the flower. A pinch of saffron, sometimes soaked in water, gives food a subtle sweet, grassy flavor and often a hint of orange or yellow color. This color itself is also called saffron. The word saffron comes from the Old French safran, by way of the Medieval Latin safranum, ultimately from the Arabic root az-za'faran.saffron: saffrons   saffron
meddling   /ˈmedlɪŋ/          n.干预；瞎管v.干预；瞎弄（meddle的ing形式）adj.干预的原型:meddling 是 meddle 的现在分词干涉 97%，动词meddle的现在分词形式. 3%词性：名词 75%, 形容词 25%	meddling  /ˈmedlɪŋ/       n.干预；瞎管v.干预；瞎弄（meddle的ing形式）adj.干预的原型:meddling 是 meddle 的现在分词干涉 97%，动词meddle的现在分词形式. 3%词性：名词 75%, 形容词 25%                                meddling
indiscriminately   /ˌɪndɪˈskrɪmɪnətli/          adv.不加选择地；任意地无差别 50%，任意地 50%	indiscriminately  /ˌɪndɪˈskrɪmɪnətli/       adv.不加选择地；任意地无差别 50%，任意地 50%           The terrorists indiscriminately attacked random cities.恐怖分子不加选择的攻击城市。                     indiscriminately
goalkeeper   /ˈɡoʊlkiːpər/          n.守门员守门员 100%	goalkeeper  /ˈɡoʊlkiːpər/       n.守门员守门员 100%           The goalkeeper stopped every shot from entering the goal.门将阻止了每一次进入球门的射门。            noun [ C ]uk/ˈɡəʊlˌkiː.pər/ us/ˈɡoʊlˌkiː.pɚ/ informal goalie, US also goaltender B1 (in some sports) the player who stands in the team's goal to try to stop the other team from scoring守门员ExamplesFor a goalkeeper, it's a great advantage to have big hands.The crowd cheered as the goalkeeper deflected the shot.The goalkeeper denied him his third goal.They're a fairly good team - their only weak link is a relatively inexperienced goalkeeper.The goalkeeper made a great save in the last minute of the match.          goalkeeper
judicious   /dʒuːˈdɪʃəs/          adj.明智的；头脑精明的；判断正确的明智的 65%，审慎的 20%，贤明的 15%	"judicious  /dʒuːˈdɪʃəs/       adj.明智的；头脑精明的；判断正确的明智的 65%，审慎的 20%，贤明的 15%           He is a judicious man. He always knows right from wrong.他是个明智的人。他总是明辨是非。      →记1: judicious→judic(=judge 判断)+ious→明断的 来自拉丁语 iudicare, 审判, 判决, 判断, 词源同 judge. 即有判断力的, 明智的, 审慎的.明智的;有判断力的(judic+ious→有判断力的)[judg,judic=judge,表示""判断""]【记】源于：judge（n.法官；v.判断） 【参】judicial（adj.司法的；公正的） 【类】miser:stingy＝sage:judicious吝啬鬼小气＝贤人明智的 【反】unwise（adj.愚笨的）；daft（adj.愚蠢的）；imprudent（adj.轻率的）      adjectiveuk/dʒuːˈdɪʃ.əs/ us/dʒuːˈdɪʃ.əs/   having or showing reason and good judgment in making decisions明断的；明智而审慎的 We should make judicious use of the resources available to us.我们应当审慎使用现有的资源。     judicial, judicious  这是一组形近易混词。  judicial: a.司法的，法律的，法庭的。   • The judicial system settles arguments between people.   司法系统解决人与人之间的争端。  judicious: a.果断的，明智的，是个正式用语。   • He made a judicious decision to save money for his old age.   他做了一个明智的决定，要为他的晚年攒钱。      If you're judicious, you've got a good head on your shoulders and make good decisions. Humpty Dumpty's decision to sit on a wall? NOT judicious.As its sound implies, judicious comes from the same Latin word from which we get judge and judiciary, and not surprisingly a judicious decision is one that only comes after all sides have been weighed up and opposing points of view taken into consideration. Judicious decisions are never split-second decisions.judicious: injudicious, judiciously, judiciousness/injudicious: injudiciousest, injudiciously, injudiciousness    judicious"
bubbling    /ˈbʌb(ə)l/           n.冒泡，[化工] 鼓泡；气泡形成原型:bubbling 是 bubble 的现在分词冒泡的 64%，动词bubble的现在分词形式. 18%，气泡形成的 18%	bubbling   /ˈbʌb(ə)l/        n.冒泡，[化工] 鼓泡；气泡形成原型:bubbling 是 bubble 的现在分词冒泡的 64%，动词bubble的现在分词形式. 18%，气泡形成的 18%                                bubbling
teacup   /ˈtiːkʌp/          n.茶碗，茶杯；一茶杯容量；心理极其脆弱、不堪一击的人茶杯 100%	teacup  /ˈtiːkʌp/       n.茶碗，茶杯；一茶杯容量；心理极其脆弱、不堪一击的人茶杯 100%                       noun [ C ]uk/ˈtiː.kʌp/ us/ˈtiː.kʌp/   a cup with a handle from which tea is drunk茶杯          teacup
putty   /ˈpʌti/          n.油灰；氧化锡vt.用油灰填塞时态:puttied, puttying, putties油灰 79%，浅灰褐 14%，用油灰接合 7%	"putty  /ˈpʌti/       n.油灰；氧化锡vt.用油灰填塞时态:puttied, puttying, putties油灰 79%，浅灰褐 14%，用油灰接合 7%           I'll use some putty to waterproof the gap between the sink and the counter.我将用一些腻子对水槽和柜台之间的缝隙进行防水处理。      来自 pot, 罐子, -y, 小词后缀. 字面意思即小罐子, 后代指罐子里面的油灰. 词义演变比较 potash.      noun [ U ]uk/ˈpʌt.i/ us/ˈpʌt̬.i/   a soft substance like clay that is used especially for holding glass in window frames or for filling small holes in wood油灰，腻子 Idiom(s)be (like) putty in sb's hands      Putty is the clay-like substance you can use to fill holes in a wall before painting it, or to secure a piece of glass in a window frame.Putty comes in different colors and consistencies, but it's generally a very soft doughy material that can fit it small or awkward spaces and hardens after a certain amount of time. Before painting a wall, you might want to putty any holes or cracks, using a putty knife. After the putty dries, you can sand it smooth. The word comes from the French potée, ""polishing powder.""putty: puttied, putties, puttying   putty"
whirl   /wɜːrl/          n.旋转，回旋；昏乱；一连串的事；短暂的旅行vt.使旋转；卷走，飞快地带走vi.旋转，回旋；急走；头晕眼花时态:whirled, whirling, whirls旋转 45%，回旋 27%，尝试 10%，混乱 10%，一个接一个的活动 2%，头晕目眩 2%，迅速移动 2%，使 ... 旋转 2%词性：动词 82%, 名词 18%	"whirl  /wɜːrl/       n.旋转，回旋；昏乱；一连串的事；短暂的旅行vt.使旋转；卷走，飞快地带走vi.旋转，回旋；急走；头晕眼花时态:whirled, whirling, whirls旋转 45%，回旋 27%，尝试 10%，混乱 10%，一个接一个的活动 2%，头晕目眩 2%，迅速移动 2%，使 ... 旋转 2%词性：动词 82%, 名词 18%           The water whirled in the river.河里的水在不停地的打转儿。      词源同 wharf, 旋转, 码头.v.(使)旋转,打转n.旋转;-连串快速的活动My head whirls.我头晕目眩.      verb [ I or T ]uk/wɜːl/ us/wɝːl/   to (cause something to) turn around in circles（使…）旋转；（使…）回旋转 She saw a mass of bodies whirling around on the dance floor.她看到一大群人的身影在舞池里旋转。 He stepped out into the night and the whirling snow.他走出来，融入夜色与飞旋的雪花之中。 He whirled her around until she felt quite sick.他带着她旋转，直到她觉得非常想吐。 Idiom(s)head/mind is whirling nounuk/wɜːl/ us/wɝːl/  whirl noun ACTIVITY  [ S ] a continuous and exciting period of activity接连不断的某种活动 The next two days passed in a whirl of activity.接下来的两天，接连不断地举行了很多活动。 I found myself swept up in the social whirl of college life and hardly had time to study.我发现自己接连不断地参加大学里的社交活动，几乎没有时间学习。  whirl noun TURN  [ C usually singular ] the action of turning around in circles or something that turns around in circles旋转；回旋 a whirl of snow雪花的飞旋Idiom(s)be in a whirlgive sth a whirl    whirl, turn, roll, rotate, revolve, spin, circle  这组词都有“转动、旋转”的意思，其区别是：  whirl: 指旋转或作圆周运动，侧重急速或力量。  turn: 普通用词，中性，含义不确切，可指作一个圆周运动或连续地作圆周运动，也可指仅是沿圆的弧形转动。  roll: 指某物在平面上滚动或翻滚。  rotate: 侧重指物体围绕自己的轴或中心旋转，即自转。  revolve: 强调指物体围绕本身以外的中心旋转，即公转。  spin: 指沿内轴迅速而连续旋转，或沿外部一个点作快速圆周运转。  circle: 指作圆周运动。      A whirl is a quick spin, and when something whirls, it rotates fast. You can also use it to mean ""a try."" Hang-gliding? Snake-charming? ""Sure,"" you say. ""I'll give it a whirl.""Both whirl and spin are words that mean ""turn in circles"" but that have also come to mean trying something briefly––you might take a car for a spin or take a turn hiking in the Himalayas. All imply an attitude so free-wheeling, so easy, so devil-may-care that it might make your head spin. Or whirl.whirl: whirled, whirler, whirling, whirls/whirler: whirlers/whirling: whirlings    whirl"
thingy   /ˈθɪŋi/          实际的物质的实际的 50%，物质的 50%	thingy  /ˈθɪŋi/       实际的物质的实际的 50%，物质的 50%                       noun [ S ]uk/ˈθɪŋ.i/ us/ˈθɪŋ.i/ informal  sometimes used if you can't remember someone's or something's name那个人，那个东西，那个玩意儿（用于记不清名称时） Can you pass me that thingy - you know, that clip thing for holding papers together. 你能把那个东西递给我吗——你知道的，那个把纸张别在一起的东西。 Ask thingy over there, he'll know.问那边那个人，他应该知道。          thingy
resiliency   /rɪˈzɪlɪjənsi/          n.弹性；跳回	resiliency  /rɪˈzɪlɪjənsi/       n.弹性；跳回                             Resiliency is a quality in objects to hold or recover their shape, or in people to stay intact. This is a kind of strength.If you bend a fork and it bends right back — that's resiliency. A car that is in an accident only has a few scratches has resiliency: it holds up and keeps its shape. A car that was demolished didn't have much resiliency. A person shows resiliency if they are able to recover from a difficult experience. Going back to school after a horrible event like a parent dying shows a lot of resiliency. Doing a triathlon shows physical resiliency.resilient: nonresilient, resilience, resiliency, resiliently/resilience: resiliences    resiliency
override   /ˌoʊvərˈraɪd/          vt.推翻；不顾；践踏n.代理佣金时态:overrode, overridden, overriding, overrides推翻 51%，凌驾 29%，无视 10%，超驰控制装置 5%，给代理人的佣金 5%词性：动词 85%, 名词 15%	"override  /ˌoʊvərˈraɪd/       vt.推翻；不顾；践踏n.代理佣金时态:overrode, overridden, overriding, overrides推翻 51%，凌驾 29%，无视 10%，超驰控制装置 5%，给代理人的佣金 5%词性：动词 85%, 名词 15%                 →记1: override→over(在上面)+ride(v. 骑)→骑在别人上面→无视(下面的要求)over-, 在上, 超过, ride, 骑. 即骑在上面的, 凌驾于之上的. 后用于指否决, 推翻.推翻,不理会(over+ride骑→骑在上面→推翻[下面的])[over-①表示""过度,过分""②表示""在……之上""③表示""翻转""]      verbuk/ˌəʊ.vəˈraɪd/ us/ˌoʊ.vɚˈraɪd/ overrode, overridden override verb NOT ACCEPT  [ T ] (of a person who has the necessary authority) to decide against or refuse to accept a previous decision, an order, a person, etc.（拥有必要权威的人）否决，推翻，撤销，使无效 Every time I make a suggestion at work, my boss overrides me/it.每次我对工作提出建议，我的老板都不听。 The president used his veto to override the committee's decision.总裁利用手中的否决权推翻了委员会的决定。 [ T ] to operate an automatic machine by hand对（自动机器）改用手控；超驰控制，超控 He overrode the autopilot when he realized it was malfunctioning.他意识到自动驾驶仪出了故障，就改为手动驾驶。  override verb CONTROL  [ T ] to take control over something, especially in order to change the way it operates（尤指为改变运作方式而）操控，制服 The pills are designed to override your body's own hormones.这些药片用以调节人体自身的荷尔蒙分泌。  override verb MORE IMPORTANT  [ T ] to be more important than something比…更重要；压倒；凌驾 Parents' concern for their children's future often overrides all their other concerns.父母对子女未来的考虑往往重于他们对其他任何事情的关心。 override verb TRAVEL  [ I ] UK to travel on public transport further than your ticket allows you to（公共交通工具）超程乘车（实际距离超出车票允许的距离） There is a $20 penalty for passengers who travel without a ticket or override.无票旅行或超程旅行的乘客将受到20美元的处罚。  noun [ C ]uk/ˌəʊ.vəˈraɪd/ us/ˌoʊ.vɚˈraɪd/  override noun [ C ] DEVICE  a device that changes the control of a machine or system in special situations, especially from automatic to manual（尤指从自动改为手动的）超控装置 The heating system has a manual override.这套取暖系统有一个手动超控装置。  override noun [ C ] POLITICS  in American politics, an occasion when an elected group of people refuses to accept a decision made by an elected leader（美国政治中对选举产生的领导人所作决定的）否决，推翻 The vote fell short of the majority needed for an override of the Governor's veto.投票未过半数，未能推翻州长的否决。       You can override or reject a decision if you're more powerful than the person who originally made the decision.  And Congress has the power to override or nullify the Presidential veto if they have a two-thirds vote.The word override can be used in a number of contexts. You can override or ride on top of the grass. You can override a horse, or ride it too hard. An army can override or dominate the enemy in a war. And a judge can override or set aside a decision in court.  Regardless of which meaning you're using, remember that the thing doing the overriding always has the upper hand.override: overridden, overrides, overriding, overrode/overriding: overridingly/ride: override, ridden, rider, rides, riding, rode/rider: riders/riding: ridings    override"
spindle   /ˈspɪnd(ə)l/          n.轴；纺锤，锭子；细长的人或物adj.锭子的，锭子似的；细长的vt.装锭子于vi.长得细长，变细长轴 80%，纺锤 19%，细长的人或物 1%词性：名词 89%, 动词 11%	"spindle  /ˈspɪnd(ə)l/       n.轴；纺锤，锭子；细长的人或物adj.锭子的，锭子似的；细长的vt.装锭子于vi.长得细长，变细长轴 80%，纺锤 19%，细长的人或物 1%词性：名词 89%, 动词 11%                 来自 spin, 纺织, 编织, -le, 工具格后缀. 插入字母-d, 比较 sound. 用于指纺轴.      noun [ C ]uk/ˈspɪn.dəl/ us/ˈspɪn.dəl/   a part of a machine around which something turns, or a rod onto which thread is twisted when it is spun (= made by twisting)（机器的）轴；纺锤，绕线杆       A spindle is a narrow wooden rod that's used when spinning wool. If your aunt has a spinning wheel for making yarn from the wool of her sheep, it must have a spindle on it for twisting the fibers.The noun spindle can be used to talk about a number of different forms of wooden rod or dowel, particularly if they turn or spin. A yarn spinner's spindle is one kind — another is a chair leg or a banister rail that was made from being turned on a lathe. In fact, spindle and spin share a common root word, the Old English spinnan, ""draw out and twist fibers into a thread.""spindle: spindles   spindle"
comprehensible   /ˌkɑːmprɪˈhensəb(ə)l/          adj.可理解的可理解的 87%，易懂的 13%	"comprehensible  /ˌkɑːmprɪˈhensəb(ə)l/       adj.可理解的可理解的 87%，易懂的 13%           The menu was simple and comprehensible.这个菜单简单但是全面。      可理解的(prehens+ible)[prehens,prehend=catch表示""抓住""]      adjectiveuk/ˌkɒm.prɪˈhen.sə.bəl/ us/ˌkɑːm.prəˈhen.sə.bəl/   able to be understood可理解的，易于理解的 It's written in clear, comprehensible English.它是用明白易懂的英语写就的。 Her writing is barely comprehensible to me.她的作品我几乎不能理解。 Oppositeincomprehensible          comprehensible"
Olympian   /əˈlɪmpiən/          adj.威严的；奥林匹克竞赛的；奥林匹斯山的n.奥运会选手	Olympian  /əˈlɪmpiən/       adj.威严的；奥林匹克竞赛的；奥林匹斯山的n.奥运会选手                 来自希腊语 Olympos, 奥林匹斯山, 古希腊众神所在之所. 引申词义神的, 超凡的.      adjectiveuk/əˈlɪm.pi.ən/ us/oʊˈlɪm.pi.ən/ literary  having the qualities of a god似神的；威严的，超凡的 She has maintained an Olympian detachment from (= avoided being involved with and worried by) the everyday business of the office.她一直很高傲，与公司的日常事务保持超然的距离。  noun [ C ]uk/əˈlɪm.pi.ən/ us/oʊˈlɪm.pi.ən/ mainly US  a competitor in the Olympic Games奥运会选手          Olympian
